epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.472,1.8692,1.87244,1.63961,0.89468,0.94688,0.9564,0.58823,1.37837,0.72309,1.42654,0.00331933,0.00331933,0.00331933
2,578.275,1.4154,0.76139,1.33294,0.90834,0.94585,0.96769,0.53001,1.6117,0.72904,1.55246,0.0066398,0.0066398,0.0066398
3,622.295,1.3808,0.72283,1.30543,0.90912,0.9512,0.96486,0.61168,1.32172,0.65637,1.39323,0.00994738,0.00994738,0.00994738
4,665.198,1.33865,0.68779,1.27457,0.90427,0.95469,0.9701,0.56962,1.44991,0.6481,1.47623,0.00994199,0.00994199,0.00994199
5,709.061,1.29355,0.6517,1.24351,0.93118,0.96222,0.98081,0.66774,1.18689,0.569,1.30148,0.00992266,0.00992266,0.00992266
6,752.701,1.28527,0.62909,1.24479,0.92693,0.95656,0.978,0.58514,1.4188,0.59617,1.45675,0.00990332,0.00990332,0.00990332
7,797.747,1.2449,0.60733,1.20963,0.93436,0.95681,0.98154,0.63433,1.27979,0.55055,1.36613,0.00988398,0.00988398,0.00988398
8,841.592,1.22436,0.59207,1.21388,0.92428,0.96027,0.97954,0.60201,1.40416,0.57338,1.434,0.00986465,0.00986465,0.00986465
9,886.489,1.20903,0.58034,1.20068,0.93198,0.96076,0.98284,0.68992,1.11967,0.49775,1.24587,0.00984531,0.00984531,0.00984531
10,932.265,1.19937,0.57256,1.19105,0.93485,0.95998,0.98216,0.69534,1.09055,0.49021,1.24463,0.00982598,0.00982598,0.00982598
11,985.781,1.17297,0.55584,1.19018,0.93304,0.96582,0.9822,0.69988,1.07553,0.47818,1.22862,0.00980664,0.00980664,0.00980664
12,1037.05,1.18574,0.55841,1.18843,0.93377,0.96426,0.98312,0.69453,1.12128,0.48408,1.25016,0.0097873,0.0097873,0.0097873
13,1083.92,1.16871,0.54627,1.18408,0.9134,0.9418,0.97286,0.57397,1.52578,0.57799,1.53225,0.00976797,0.00976797,0.00976797
14,1130.27,1.15917,0.53944,1.17414,0.93523,0.96183,0.98327,0.67847,1.16866,0.4851,1.27974,0.00974863,0.00974863,0.00974863
15,1184.05,1.1501,0.53038,1.17079,0.93815,0.95868,0.98351,0.67071,1.18474,0.48398,1.2878,0.0097293,0.0097293,0.0097293
16,1233.11,1.15309,0.5273,1.17103,0.92487,0.96148,0.98114,0.66214,1.21848,0.48684,1.31149,0.00970996,0.00970996,0.00970996
17,1280.51,1.13117,0.52339,1.15212,0.93337,0.96589,0.98281,0.65773,1.20686,0.47897,1.30931,0.00969063,0.00969063,0.00969063
18,1327.91,1.14204,0.51943,1.16669,0.93422,0.95668,0.98344,0.63579,1.28357,0.50272,1.35953,0.00967129,0.00967129,0.00967129
19,1374.71,1.13106,0.51476,1.15921,0.93557,0.96059,0.98294,0.60302,1.42458,0.51708,1.47326,0.00965195,0.00965195,0.00965195
20,1425.04,1.13185,0.5131,1.15579,0.93952,0.96531,0.98357,0.65465,1.22756,0.47338,1.32194,0.00963262,0.00963262,0.00963262
21,1471.97,1.11937,0.50565,1.15561,0.93575,0.9672,0.9821,0.68071,1.14673,0.4546,1.26944,0.00961328,0.00961328,0.00961328
22,1522.84,1.1186,0.50404,1.14698,0.93437,0.96435,0.98346,0.65458,1.25887,0.47381,1.3516,0.00959395,0.00959395,0.00959395
23,1569.52,1.11204,0.50246,1.14806,0.93298,0.96227,0.98336,0.70874,1.07119,0.45784,1.21519,0.00957461,0.00957461,0.00957461
24,1616.29,1.12244,0.50296,1.15475,0.93505,0.96039,0.98171,0.64943,1.27463,0.48414,1.34867,0.00955527,0.00955527,0.00955527
25,1663.77,1.11169,0.49913,1.14093,0.93819,0.96091,0.98365,0.66788,1.1942,0.46979,1.29419,0.00953594,0.00953594,0.00953594
26,1711.6,1.10437,0.49437,1.13664,0.93669,0.96237,0.98347,0.70763,1.06965,0.44229,1.21403,0.0095166,0.0095166,0.0095166
27,1765.87,1.10551,0.49425,1.14403,0.93886,0.96176,0.98365,0.69531,1.11992,0.44287,1.25213,0.00949727,0.00949727,0.00949727
28,1813.01,1.10844,0.49432,1.14917,0.93005,0.96336,0.98273,0.64875,1.25156,0.47572,1.33859,0.00947793,0.00947793,0.00947793
29,1860.56,1.09871,0.48987,1.13489,0.93597,0.9618,0.98172,0.64119,1.29335,0.47207,1.373,0.00945859,0.00945859,0.00945859
30,1908.09,1.09243,0.48847,1.1417,0.93851,0.96394,0.98434,0.68969,1.14594,0.43888,1.26832,0.00943926,0.00943926,0.00943926
31,1955.64,1.08925,0.48232,1.12951,0.93237,0.9608,0.98249,0.6581,1.24716,0.46756,1.33423,0.00941992,0.00941992,0.00941992
32,2003.23,1.09372,0.48743,1.13809,0.92411,0.95917,0.98075,0.67573,1.16183,0.47161,1.27695,0.00940059,0.00940059,0.00940059
33,2052.02,1.09649,0.48277,1.13627,0.93733,0.96522,0.98449,0.68938,1.13853,0.43758,1.2556,0.00938125,0.00938125,0.00938125
34,2098.93,1.09676,0.48318,1.13693,0.93356,0.95881,0.98228,0.63083,1.33516,0.4816,1.39461,0.00936191,0.00936191,0.00936191
35,2147.17,1.08465,0.4766,1.1329,0.939,0.96588,0.98489,0.70823,1.07285,0.43032,1.21831,0.00934258,0.00934258,0.00934258
36,2196.41,1.08292,0.47838,1.12751,0.93943,0.95973,0.98425,0.71119,1.0601,0.42519,1.209,0.00932324,0.00932324,0.00932324
37,2246.57,1.08059,0.47633,1.12656,0.93699,0.96556,0.98469,0.70957,1.05952,0.42614,1.20213,0.00930391,0.00930391,0.00930391
38,2294.06,1.08258,0.47608,1.13217,0.93746,0.96263,0.9837,0.6634,1.22653,0.45543,1.32318,0.00928457,0.00928457,0.00928457
39,2346.56,1.07701,0.47385,1.12132,0.93825,0.96252,0.98382,0.70162,1.09774,0.427,1.22426,0.00926523,0.00926523,0.00926523
40,2393.82,1.06355,0.46803,1.12048,0.94142,0.96269,0.9841,0.69821,1.11199,0.43237,1.24505,0.0092459,0.0092459,0.0092459
41,2441.64,1.07174,0.47117,1.11907,0.93676,0.96512,0.9842,0.68046,1.18511,0.4357,1.2898,0.00922656,0.00922656,0.00922656
42,2488.38,1.0714,0.46843,1.13252,0.93972,0.96546,0.98556,0.70032,1.11123,0.42414,1.23516,0.00920723,0.00920723,0.00920723
43,2535.09,1.07102,0.46823,1.12054,0.9363,0.9649,0.98406,0.67046,1.20174,0.44395,1.30643,0.00918789,0.00918789,0.00918789
44,2598.91,1.06878,0.46994,1.11589,0.93496,0.96556,0.98465,0.67118,1.19482,0.44509,1.29492,0.00916855,0.00916855,0.00916855
45,2645.14,1.0642,0.46676,1.11597,0.93823,0.9631,0.98482,0.65697,1.23291,0.44637,1.33702,0.00914922,0.00914922,0.00914922
46,2697.11,1.06888,0.46446,1.11731,0.93547,0.96793,0.98438,0.7266,1.01339,0.40974,1.17572,0.00912988,0.00912988,0.00912988
47,2743.09,1.061,0.46557,1.11782,0.93864,0.96611,0.98461,0.70194,1.0988,0.4192,1.2376,0.00911055,0.00911055,0.00911055
48,2789.04,1.05883,0.4614,1.11698,0.93888,0.96863,0.98525,0.71754,1.05008,0.40401,1.20277,0.00909121,0.00909121,0.00909121
49,2879.99,1.06581,0.46196,1.13172,0.93771,0.96372,0.9845,0.70078,1.09151,0.42415,1.22641,0.00907188,0.00907188,0.00907188
50,2923.81,1.06566,0.46129,1.12217,0.93694,0.96246,0.98408,0.6777,1.17617,0.43793,1.28177,0.00905254,0.00905254,0.00905254
51,2968.57,1.05981,0.4589,1.11731,0.93398,0.96754,0.98341,0.67142,1.20386,0.43809,1.30875,0.0090332,0.0090332,0.0090332
52,3013.6,1.06003,0.45841,1.11555,0.93613,0.9673,0.98433,0.6896,1.14768,0.42842,1.26512,0.00901387,0.00901387,0.00901387
53,3058.37,1.05117,0.4588,1.1121,0.94154,0.96532,0.98645,0.71845,1.05063,0.40338,1.20173,0.00899453,0.00899453,0.00899453
54,6189.19,1.05177,0.4551,1.10917,0.9433,0.96438,0.9854,0.72459,1.02862,0.39991,1.1888,0.0089752,0.0089752,0.0089752
55,6229.41,1.04301,0.45333,1.11348,0.93854,0.96644,0.98538,0.71549,1.06972,0.40965,1.21646,0.00895586,0.00895586,0.00895586
56,6272.93,1.04507,0.45608,1.10891,0.93924,0.96532,0.98526,0.6773,1.18821,0.42517,1.29443,0.00893652,0.00893652,0.00893652
57,6315.2,1.04863,0.45425,1.11764,0.93833,0.96435,0.98586,0.68501,1.17782,0.42095,1.28764,0.00891719,0.00891719,0.00891719
58,6357.78,1.03855,0.45099,1.09226,0.94378,0.96196,0.98585,0.7234,1.04171,0.40541,1.19663,0.00889785,0.00889785,0.00889785
59,6400.92,1.04468,0.45308,1.10596,0.94051,0.9631,0.98464,0.68116,1.16429,0.42752,1.2756,0.00887852,0.00887852,0.00887852
60,6444.06,1.04534,0.45208,1.10453,0.93943,0.96283,0.98507,0.6677,1.2359,0.43576,1.33231,0.00885918,0.00885918,0.00885918
61,6487.14,1.04712,0.45116,1.10703,0.93924,0.96755,0.98604,0.69967,1.11832,0.41222,1.24791,0.00883984,0.00883984,0.00883984
