epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0358,1.42851,0.98992,1.41547,0.95513,0.96229,0.96907,0.64204,1.15156,0.66213,1.15712,0.0700317,0.00332981,0.00332981
2,186.544,1.38795,0.89998,1.43064,0.95769,0.97694,0.97324,0.64658,1.18015,0.5885,1.15585,0.0399802,0.0066116,0.0066116
3,276.003,1.31058,0.83261,1.3872,0.96021,0.97957,0.97012,0.65707,1.12378,0.595,1.17699,0.00987711,0.00984184,0.00984184
4,362.398,1.28947,0.80323,1.3736,0.95866,0.98404,0.96941,0.64432,1.20756,0.55573,1.16497,0.00976797,0.00976797,0.00976797
5,458.507,1.24996,0.76169,1.35762,0.95871,0.98532,0.97633,0.6953,1.05583,0.48682,1.10808,0.00969063,0.00969063,0.00969063
6,549.554,1.23846,0.72819,1.35241,0.96499,0.97601,0.9665,0.64348,1.16925,0.55059,1.20318,0.00961328,0.00961328,0.00961328
7,636.53,1.20484,0.69901,1.33631,0.96045,0.98432,0.9741,0.67687,1.09487,0.50736,1.13308,0.00953594,0.00953594,0.00953594
8,725.411,1.20338,0.71128,1.34372,0.96379,0.9821,0.97627,0.6684,1.15002,0.527,1.19659,0.00945859,0.00945859,0.00945859
9,812.756,1.17758,0.68001,1.32165,0.96112,0.98067,0.97292,0.68924,1.05945,0.50268,1.14093,0.00938125,0.00938125,0.00938125
10,902.659,1.1696,0.66807,1.3121,0.95973,0.98247,0.97117,0.68761,1.06135,0.50742,1.15818,0.00930391,0.00930391,0.00930391
11,993.234,1.18338,0.66991,1.32536,0.96615,0.97694,0.97643,0.69563,1.0791,0.45962,1.12162,0.00922656,0.00922656,0.00922656
12,1081.63,1.16063,0.65339,1.30647,0.96191,0.97846,0.97006,0.66717,1.07404,0.49223,1.14289,0.00914922,0.00914922,0.00914922
13,1172.29,1.13917,0.63695,1.30142,0.96195,0.98339,0.97074,0.70666,1.05335,0.47017,1.14651,0.00907188,0.00907188,0.00907188
14,1261.48,1.13858,0.63353,1.30102,0.96368,0.97901,0.96753,0.69292,1.03196,0.47219,1.12974,0.00899453,0.00899453,0.00899453
15,1350.06,1.13485,0.62714,1.29453,0.96143,0.98155,0.97349,0.68124,1.05013,0.46505,1.10988,0.00891719,0.00891719,0.00891719
16,1437.88,1.12811,0.62284,1.2959,0.95608,0.98389,0.96664,0.6875,1.0519,0.46828,1.10219,0.00883984,0.00883984,0.00883984
17,1526.1,1.115,0.61536,1.28857,0.96016,0.98155,0.96722,0.68892,1.06627,0.46537,1.15281,0.0087625,0.0087625,0.0087625
18,1614.85,1.09988,0.60645,1.2766,0.95968,0.98432,0.9768,0.69533,1.02959,0.43751,1.1082,0.00868516,0.00868516,0.00868516
19,1704.09,1.08939,0.59839,1.26479,0.96474,0.98063,0.97678,0.7177,1.02877,0.45128,1.12094,0.00860781,0.00860781,0.00860781
20,1793.27,1.08435,0.59848,1.2712,0.96374,0.98432,0.97548,0.69668,1.07556,0.45461,1.11509,0.00853047,0.00853047,0.00853047
21,1882.65,1.1045,0.59255,1.27235,0.96811,0.98017,0.97766,0.70438,1.04081,0.44144,1.11615,0.00845313,0.00845313,0.00845313
22,1970.39,1.08377,0.58639,1.2648,0.96357,0.9759,0.97175,0.70303,1.05172,0.44079,1.11321,0.00837578,0.00837578,0.00837578
23,2059.37,1.07997,0.58592,1.27378,0.96198,0.98039,0.96985,0.70468,1.01734,0.43811,1.1111,0.00829844,0.00829844,0.00829844
24,2148.79,1.07434,0.58966,1.26007,0.96045,0.98571,0.97408,0.71603,1.0289,0.43037,1.10487,0.00822109,0.00822109,0.00822109
25,2237.43,1.09198,0.58541,1.27675,0.95781,0.98434,0.97628,0.71099,1.02024,0.43492,1.1206,0.00814375,0.00814375,0.00814375
26,2326.38,1.05426,0.57151,1.25726,0.96023,0.98002,0.97918,0.70542,1.05895,0.42444,1.11714,0.00806641,0.00806641,0.00806641
27,2415.69,1.07313,0.57354,1.25731,0.95536,0.98705,0.97436,0.70079,1.02098,0.42457,1.08129,0.00798906,0.00798906,0.00798906
28,2504.76,1.05426,0.56467,1.25366,0.96302,0.98487,0.97494,0.71296,1.00577,0.43601,1.11787,0.00791172,0.00791172,0.00791172
29,2592.32,1.06076,0.56336,1.25965,0.9621,0.98367,0.96471,0.69019,1.02234,0.43357,1.11655,0.00783438,0.00783438,0.00783438
