epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8088,1.42851,0.98992,1.41547,0.95513,0.96229,0.96907,0.64204,1.15156,0.66213,1.15712,0.0700317,0.00332981,0.00332981
2,187.946,1.39038,0.89761,1.42438,0.96495,0.96771,0.97143,0.65987,1.11828,0.5917,1.14068,0.0400189,0.00665026,0.00665026
3,283.195,1.31533,0.83259,1.39665,0.95296,0.97601,0.96608,0.65523,1.13378,0.63115,1.17999,0.00999309,0.00995781,0.00995781
4,375.037,1.29912,0.83012,1.38842,0.957,0.98544,0.97209,0.64697,1.12462,0.5392,1.15896,0.00994199,0.00994199,0.00994199
5,467.718,1.25022,0.76578,1.35792,0.96303,0.98534,0.97182,0.6796,1.099,0.51968,1.12421,0.00992266,0.00992266,0.00992266
6,559.007,1.22225,0.72263,1.34566,0.95373,0.97878,0.97176,0.64956,1.18283,0.59454,1.25537,0.00990332,0.00990332,0.00990332
7,649.373,1.20724,0.6993,1.34302,0.96068,0.97509,0.97196,0.67394,1.08016,0.53315,1.17891,0.00988398,0.00988398,0.00988398
8,739.961,1.20885,0.71261,1.35142,0.96324,0.98063,0.97515,0.68649,1.04943,0.51893,1.14193,0.00986465,0.00986465,0.00986465
9,829.777,1.18656,0.68358,1.32582,0.96175,0.97325,0.96182,0.66313,1.08759,0.57664,1.18181,0.00984531,0.00984531,0.00984531
10,921.084,1.17765,0.67104,1.32273,0.95753,0.97786,0.9672,0.67856,1.07196,0.53891,1.17206,0.00982598,0.00982598,0.00982598
11,1011.69,1.18479,0.67185,1.32015,0.96017,0.9797,0.97483,0.69372,1.09634,0.48575,1.13845,0.00980664,0.00980664,0.00980664
12,1101.1,1.16959,0.66337,1.31494,0.96201,0.98107,0.97115,0.68225,1.06717,0.50305,1.17205,0.0097873,0.0097873,0.0097873
13,1191.82,1.15527,0.65175,1.31183,0.95839,0.98524,0.97184,0.68971,1.07947,0.49013,1.15828,0.00976797,0.00976797,0.00976797
14,1281.18,1.14681,0.64039,1.30833,0.96117,0.98187,0.97021,0.6898,1.05747,0.47263,1.15506,0.00974863,0.00974863,0.00974863
15,1371.04,1.14655,0.64133,1.30217,0.96544,0.98155,0.96691,0.66501,1.09125,0.50201,1.20862,0.0097293,0.0097293,0.0097293
16,1460.54,1.13865,0.64097,1.30799,0.95864,0.98616,0.9714,0.6935,1.03376,0.46432,1.13199,0.00970996,0.00970996,0.00970996
17,1550.96,1.12523,0.62385,1.29688,0.96091,0.98063,0.97031,0.67733,1.11113,0.4878,1.17759,0.00969063,0.00969063,0.00969063
18,1640.23,1.11807,0.6197,1.2945,0.95121,0.98339,0.96674,0.66753,1.11746,0.49716,1.15848,0.00967129,0.00967129,0.00967129
19,1730.55,1.10549,0.61503,1.28535,0.96112,0.98068,0.97197,0.68329,1.03205,0.4992,1.12728,0.00965195,0.00965195,0.00965195
20,1820.19,1.09983,0.60604,1.28551,0.95803,0.98616,0.96641,0.67914,1.06614,0.49172,1.15815,0.00963262,0.00963262,0.00963262
21,1910.31,1.11473,0.6068,1.28369,0.96339,0.98708,0.97809,0.69097,1.0866,0.47085,1.12821,0.00961328,0.00961328,0.00961328
22,2000.01,1.1003,0.60132,1.28036,0.96008,0.98155,0.9662,0.69135,1.03551,0.44581,1.13191,0.00959395,0.00959395,0.00959395
23,2091.14,1.09134,0.60155,1.28402,0.96496,0.98247,0.97402,0.6933,1.03454,0.43796,1.1631,0.00957461,0.00957461,0.00957461
24,2180.43,1.1001,0.6011,1.28158,0.95985,0.98616,0.97594,0.70571,1.04457,0.45024,1.17032,0.00955527,0.00955527,0.00955527
25,2269.33,1.09826,0.59517,1.28754,0.96396,0.9797,0.97789,0.70216,1.03742,0.45604,1.15518,0.00953594,0.00953594,0.00953594
26,2358.42,1.07213,0.58579,1.27419,0.95779,0.9839,0.97552,0.71205,1.03732,0.45394,1.13257,0.0095166,0.0095166,0.0095166
