epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9488,1.92883,2.05969,1.68008,0.89752,0.95668,0.95812,0.5801,1.39297,0.72417,1.45534,0.00331933,0.00331933,0.00331933
2,112.499,1.4285,0.76839,1.34671,0.8271,0.87394,0.87583,0.41571,1.92422,0.93209,1.7713,0.0066398,0.0066398,0.0066398
3,159.151,1.40487,0.73675,1.32194,0.91772,0.9639,0.97272,0.67384,1.14439,0.63591,1.28107,0.00994738,0.00994738,0.00994738
4,204.864,1.34809,0.70563,1.28549,0.8733,0.88757,0.91399,0.47167,1.7432,0.80519,1.68421,0.00994199,0.00994199,0.00994199
5,250.587,1.30978,0.67296,1.25533,0.9238,0.9611,0.97508,0.6696,1.1695,0.58286,1.28782,0.00992266,0.00992266,0.00992266
6,296.209,1.29589,0.64436,1.2534,0.92975,0.9522,0.97497,0.6556,1.20146,0.59163,1.30752,0.00990332,0.00990332,0.00990332
7,342.11,1.25397,0.62646,1.21905,0.928,0.95886,0.97621,0.65134,1.20836,0.55884,1.29723,0.00988398,0.00988398,0.00988398
8,387.618,1.23151,0.61078,1.21966,0.92991,0.96588,0.97926,0.6726,1.13726,0.53413,1.25871,0.00986465,0.00986465,0.00986465
9,433.147,1.20877,0.59381,1.20191,0.92643,0.95846,0.97979,0.62531,1.32725,0.56799,1.38686,0.00984531,0.00984531,0.00984531
10,479.227,1.21074,0.58613,1.199,0.93456,0.96395,0.97915,0.55975,1.47617,0.56472,1.53451,0.00982598,0.00982598,0.00982598
11,533.797,1.17771,0.56947,1.1942,0.93407,0.96823,0.98165,0.68258,1.12307,0.49215,1.25734,0.00980664,0.00980664,0.00980664
12,586.069,1.18757,0.57229,1.19086,0.93436,0.96878,0.98254,0.71453,1.04003,0.48317,1.20368,0.0097873,0.0097873,0.0097873
13,631.976,1.18017,0.56209,1.19138,0.91344,0.9431,0.97238,0.57399,1.49956,0.59582,1.50256,0.00976797,0.00976797,0.00976797
14,678.013,1.16283,0.55347,1.17952,0.93297,0.96451,0.9822,0.69167,1.11951,0.4805,1.24643,0.00974863,0.00974863,0.00974863
15,732.061,1.16345,0.54665,1.17797,0.94059,0.96008,0.98352,0.64576,1.26874,0.50516,1.33585,0.0097293,0.0097293,0.0097293
16,779.983,1.15516,0.5402,1.17262,0.93545,0.96288,0.98254,0.67112,1.18096,0.48655,1.28714,0.00970996,0.00970996,0.00970996
17,826.235,1.1453,0.53548,1.16098,0.93596,0.95876,0.98253,0.64482,1.26768,0.51012,1.34923,0.00969063,0.00969063,0.00969063
