epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.822,1.4482,1.02107,1.41639,0.95844,0.98247,0.97634,0.50184,1.62601,0.87021,1.35656,0.0700317,0.00332981,0.00332981
2,310.553,1.39402,0.94594,1.40909,0.9619,0.97814,0.97314,0.64977,1.1558,0.54963,1.14548,0.0399802,0.0066116,0.0066116
3,449.985,1.33562,0.85435,1.3708,0.9651,0.96943,0.97419,0.62683,1.23569,0.59632,1.18642,0.00987711,0.00984184,0.00984184
4,587.046,1.29009,0.81328,1.35724,0.95729,0.97232,0.96529,0.62503,1.21821,0.55316,1.17189,0.00976797,0.00976797,0.00976797
5,748.214,1.26985,0.78334,1.34572,0.9594,0.98102,0.96856,0.67064,1.12814,0.51774,1.12609,0.00969063,0.00969063,0.00969063
6,900.655,1.25194,0.75776,1.32912,0.95792,0.97786,0.97363,0.66872,1.11313,0.51933,1.13734,0.00961328,0.00961328,0.00961328
7,1037.9,1.21487,0.71788,1.31066,0.95519,0.98325,0.97251,0.68271,1.07647,0.48563,1.11511,0.00953594,0.00953594,0.00953594
8,1175.81,1.21998,0.73129,1.32434,0.95454,0.98789,0.96761,0.66648,1.1155,0.48311,1.10688,0.00945859,0.00945859,0.00945859
9,1873.56,1.21078,0.71047,1.30304,0.95933,0.97933,0.97228,0.66307,1.12233,0.51924,1.10878,0.00938125,0.00938125,0.00938125
10,2959.04,1.19122,0.70001,1.30031,0.95724,0.98432,0.96773,0.67983,1.07472,0.49878,1.11446,0.00930391,0.00930391,0.00930391
11,3063.01,1.19218,0.69173,1.29792,0.94948,0.98339,0.96951,0.68301,1.0851,0.47371,1.09995,0.00922656,0.00922656,0.00922656
12,3171.44,1.17103,0.67298,1.28826,0.95864,0.98355,0.95472,0.66866,1.06666,0.4574,1.08824,0.00914922,0.00914922,0.00914922
13,3287.29,1.15641,0.66327,1.28024,0.95729,0.98339,0.96545,0.68658,1.04663,0.45311,1.0854,0.00907188,0.00907188,0.00907188
14,3397.09,1.14675,0.6572,1.27131,0.96105,0.98063,0.97365,0.70776,1.05141,0.44619,1.09783,0.00899453,0.00899453,0.00899453
