epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.474,1.60436,0.88427,1.49488,0.92461,0.94722,0.97655,0.60317,1.41019,0.59008,1.46843,0.000665266,0.000665266,0.000665266
2,155.065,1.33628,0.62787,1.30425,0.90952,0.94872,0.97118,0.60714,1.43462,0.62219,1.46719,0.00132163,0.00132163,0.00132163
3,234.501,1.32056,0.61014,1.28579,0.92125,0.93509,0.97525,0.63862,1.30308,0.58812,1.38318,0.00196768,0.00196768,0.00196768
4,310.44,1.25773,0.57503,1.24911,0.9337,0.96386,0.98124,0.65279,1.24716,0.51794,1.34373,0.00195359,0.00195359,0.00195359
5,384.548,1.2411,0.55731,1.2381,0.92272,0.96202,0.97812,0.62566,1.30804,0.53228,1.37123,0.00193813,0.00193813,0.00193813
6,458.809,1.23418,0.55276,1.23955,0.93284,0.95707,0.98194,0.63977,1.29441,0.51816,1.38034,0.00192266,0.00192266,0.00192266
7,533.228,1.20804,0.54123,1.211,0.93132,0.96458,0.98129,0.6531,1.26453,0.49656,1.351,0.00190719,0.00190719,0.00190719
8,607.72,1.18875,0.53207,1.21507,0.93614,0.96232,0.98454,0.71034,1.06816,0.463,1.23176,0.00189172,0.00189172,0.00189172
9,681.755,1.16187,0.51904,1.19406,0.93591,0.96435,0.98495,0.683,1.17333,0.47039,1.28804,0.00187625,0.00187625,0.00187625
10,755.713,1.16546,0.51357,1.1954,0.93089,0.9638,0.9823,0.68808,1.16622,0.47635,1.27585,0.00186078,0.00186078,0.00186078
11,830.653,1.16806,0.51017,1.2027,0.93244,0.96632,0.98477,0.69929,1.10794,0.45921,1.24165,0.00184531,0.00184531,0.00184531
12,905.25,1.14575,0.50442,1.1872,0.9308,0.96603,0.98264,0.64903,1.29338,0.48219,1.37283,0.00182984,0.00182984,0.00182984
13,979.341,1.14914,0.50481,1.19419,0.91908,0.95991,0.97746,0.6424,1.27133,0.52011,1.34415,0.00181438,0.00181438,0.00181438
14,1053.07,1.14462,0.50242,1.18861,0.9357,0.96497,0.98424,0.65496,1.26519,0.47757,1.35301,0.00179891,0.00179891,0.00179891
15,1127.27,1.13872,0.49752,1.18127,0.93516,0.96361,0.98414,0.68769,1.13926,0.46059,1.26191,0.00178344,0.00178344,0.00178344
16,1201.46,1.13679,0.49119,1.1829,0.93637,0.96563,0.98485,0.66487,1.2285,0.46452,1.31346,0.00176797,0.00176797,0.00176797
17,1275.35,1.11852,0.48827,1.16891,0.93866,0.96254,0.98432,0.67469,1.20279,0.4536,1.31061,0.0017525,0.0017525,0.0017525
18,1349.39,1.12035,0.48611,1.17199,0.93106,0.96205,0.98156,0.62503,1.35723,0.49479,1.41758,0.00173703,0.00173703,0.00173703
19,1424.25,1.11507,0.48744,1.16756,0.93515,0.96573,0.98525,0.66611,1.23833,0.46064,1.33857,0.00172156,0.00172156,0.00172156
20,1497.72,1.11688,0.48344,1.16432,0.93653,0.96415,0.98479,0.64379,1.31357,0.47211,1.37809,0.00170609,0.00170609,0.00170609
21,1571.68,1.12769,0.48879,1.18053,0.94078,0.96213,0.98566,0.66223,1.25592,0.46346,1.34114,0.00169063,0.00169063,0.00169063
22,1644.84,1.09876,0.47865,1.15539,0.93813,0.96614,0.98573,0.71431,1.07573,0.42945,1.22352,0.00167516,0.00167516,0.00167516
23,1719.88,1.09903,0.47135,1.16145,0.92633,0.96893,0.98302,0.66752,1.23962,0.46657,1.31966,0.00165969,0.00165969,0.00165969
24,1793.7,1.1054,0.47588,1.16374,0.93607,0.96568,0.98465,0.69767,1.13155,0.44199,1.24971,0.00164422,0.00164422,0.00164422
25,1867.27,1.08581,0.46798,1.14779,0.93744,0.96547,0.98478,0.65444,1.25576,0.45308,1.33798,0.00162875,0.00162875,0.00162875
26,1940.28,1.08769,0.47069,1.14472,0.93189,0.96768,0.98385,0.63208,1.37884,0.4706,1.44753,0.00161328,0.00161328,0.00161328
27,2013.62,1.09028,0.46921,1.16004,0.93163,0.96873,0.98437,0.68183,1.18784,0.44499,1.29144,0.00159781,0.00159781,0.00159781
28,2086.51,1.09385,0.47064,1.15827,0.93914,0.96597,0.98586,0.71547,1.07811,0.42131,1.22553,0.00158234,0.00158234,0.00158234
29,2160.44,1.08078,0.46607,1.14098,0.93691,0.9651,0.98526,0.66549,1.26255,0.45067,1.34284,0.00156688,0.00156688,0.00156688
30,2233.91,1.06334,0.45993,1.14159,0.93382,0.96283,0.98412,0.62177,1.39112,0.48113,1.44152,0.00155141,0.00155141,0.00155141
