epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4044,3.43901,4.10912,3.10491,0.72574,0.82162,0.81785,0.53675,2.46639,1.68592,2.68534,0.00331933,0.00331933,0.00331933
2,238.926,2.7653,1.74324,2.61959,0.81729,0.8471,0.90842,0.57108,2.71012,1.42876,2.80607,0.0066398,0.0066398,0.0066398
3,304.624,2.8154,1.60568,2.63368,0.81773,0.87801,0.90853,0.59022,2.55463,1.39652,2.73015,0.00994738,0.00994738,0.00994738
4,371.434,2.7342,1.46523,2.57506,0.87304,0.90665,0.94475,0.5831,2.80057,1.29125,2.91472,0.00994199,0.00994199,0.00994199
5,438.887,2.67352,1.35622,2.53372,0.89641,0.92296,0.95952,0.6304,2.5672,1.08457,2.73102,0.00992266,0.00992266,0.00992266
6,508.903,2.61592,1.26439,2.50942,0.90637,0.93573,0.96594,0.66787,2.24697,1.02167,2.54044,0.00990332,0.00990332,0.00990332
7,574.548,2.53125,1.20075,2.44223,0.91272,0.94579,0.97207,0.64955,2.41505,0.96037,2.65046,0.00988398,0.00988398,0.00988398
8,640.162,2.48937,1.16041,2.44669,0.8882,0.91501,0.95937,0.59039,2.84629,1.14119,2.90229,0.00986465,0.00986465,0.00986465
9,705.817,2.46879,1.12495,2.42519,0.91605,0.95163,0.97501,0.70454,2.0662,0.85572,2.41999,0.00984531,0.00984531,0.00984531
10,771.95,2.45922,1.11202,2.4113,0.9216,0.95368,0.9764,0.68387,2.22261,0.87893,2.52774,0.00982598,0.00982598,0.00982598
11,862.026,2.39025,1.08045,2.40169,0.92149,0.9555,0.9776,0.71421,2.04853,0.82641,2.4017,0.00980664,0.00980664,0.00980664
12,965.91,2.42524,1.08217,2.40318,0.92726,0.95713,0.98009,0.72392,2.00873,0.81805,2.37075,0.0097873,0.0097873,0.0097873
13,1031.05,2.38766,1.05642,2.39388,0.92289,0.94793,0.97654,0.66662,2.42446,0.91835,2.61149,0.00976797,0.00976797,0.00976797
14,1096.71,2.37291,1.04215,2.37875,0.92997,0.95281,0.97779,0.67919,2.34525,0.87595,2.55867,0.00974863,0.00974863,0.00974863
15,1199.64,2.3528,1.02202,2.36656,0.93288,0.94325,0.9783,0.6755,2.35938,0.88133,2.57483,0.0097293,0.0097293,0.0097293
16,1288.11,2.34341,1.01014,2.36142,0.93321,0.94003,0.97873,0.68518,2.29081,0.87688,2.52855,0.00970996,0.00970996,0.00970996
17,1357.79,2.32345,1.00673,2.33544,0.93476,0.95151,0.98098,0.67579,2.31313,0.85031,2.54816,0.00969063,0.00969063,0.00969063
18,1424.22,2.33827,0.99437,2.3593,0.93063,0.94696,0.97913,0.70969,2.10666,0.83023,2.42809,0.00967129,0.00967129,0.00967129
19,1490.29,2.30691,0.98529,2.33756,0.93241,0.96146,0.98182,0.71465,2.1211,0.78396,2.41764,0.00965195,0.00965195,0.00965195
20,1571.39,2.29339,0.97815,2.32076,0.93639,0.95459,0.98201,0.67569,2.37819,0.83492,2.57595,0.00963262,0.00963262,0.00963262
21,1637.42,2.29945,0.97331,2.34197,0.93034,0.95835,0.98173,0.73438,1.98726,0.78375,2.34483,0.00961328,0.00961328,0.00961328
22,1719.62,2.27471,0.96472,2.31289,0.93924,0.9464,0.98119,0.70581,2.19968,0.80311,2.47457,0.00959395,0.00959395,0.00959395
23,1785.92,2.26524,0.95667,2.31192,0.9329,0.95715,0.98217,0.70187,2.18205,0.79772,2.46315,0.00957461,0.00957461,0.00957461
24,1854.75,2.27984,0.96046,2.3253,0.93327,0.95151,0.98107,0.68097,2.38983,0.83619,2.59214,0.00955527,0.00955527,0.00955527
25,1921.27,2.2508,0.94687,2.2949,0.93462,0.94789,0.9807,0.66509,2.49207,0.89293,2.6708,0.00953594,0.00953594,0.00953594
