epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.183,2.98255,2.32711,2.99941,0.90622,0.93081,0.95057,0.54545,2.84813,1.39663,2.64294,0.0700317,0.00332981,0.00332981
2,693.071,2.92637,2.02164,2.99023,0.92506,0.94516,0.96153,0.6269,2.39083,1.14314,2.42377,0.0400189,0.00665026,0.00665026
3,1228.73,2.78895,1.81064,2.92047,0.9327,0.92055,0.95851,0.63563,2.42074,1.11548,2.53354,0.00999309,0.00995781,0.00995781
4,1571.69,2.70386,1.71666,2.9025,0.92657,0.95451,0.96323,0.49548,3.19008,1.2874,2.86087,0.00994199,0.00994199,0.00994199
5,1703.27,2.63824,1.61521,2.85511,0.92404,0.90314,0.95291,0.60225,2.57464,1.1516,2.46942,0.00992266,0.00992266,0.00992266
6,1851.24,2.57568,1.54995,2.83714,0.92575,0.94319,0.96371,0.63307,2.44414,1.04709,2.4825,0.00990332,0.00990332,0.00990332
7,1981.69,2.53301,1.47881,2.78055,0.94934,0.91618,0.9577,0.66171,2.30749,1.02165,2.39723,0.00988398,0.00988398,0.00988398
8,2120.89,2.54722,1.48223,2.803,0.94072,0.92221,0.96635,0.64047,2.3945,1.03011,2.40534,0.00986465,0.00986465,0.00986465
9,2260.82,2.51522,1.43301,2.78752,0.94246,0.93674,0.96958,0.69576,2.17555,0.94405,2.43121,0.00984531,0.00984531,0.00984531
10,2395.78,2.47593,1.39868,2.7768,0.91304,0.91044,0.95571,0.64274,2.34366,1.07375,2.70646,0.00982598,0.00982598,0.00982598
11,2528.92,2.48373,1.40319,2.76488,0.92451,0.93819,0.96641,0.6656,2.29528,0.94108,2.4044,0.00980664,0.00980664,0.00980664
12,2662.88,2.45027,1.35004,2.75467,0.92948,0.93819,0.96617,0.69122,2.13608,0.96961,2.44909,0.0097873,0.0097873,0.0097873
13,2795.21,2.44166,1.33027,2.75325,0.89496,0.92066,0.95907,0.68913,2.15599,1.03026,2.55166,0.00976797,0.00976797,0.00976797
14,2925.48,2.42842,1.34671,2.75263,0.90756,0.94189,0.96416,0.69399,2.11465,0.92958,2.47929,0.00974863,0.00974863,0.00974863
15,3055.4,2.43018,1.3101,2.74817,0.89567,0.92662,0.95945,0.69207,2.12984,0.94766,2.47413,0.0097293,0.0097293,0.0097293
16,3186.99,2.39946,1.33198,2.74581,0.91781,0.93741,0.95751,0.67074,2.26182,0.91463,2.43103,0.00970996,0.00970996,0.00970996
17,3319.97,2.38326,1.27441,2.72853,0.92736,0.94223,0.96796,0.66574,2.33557,0.94926,2.46124,0.00969063,0.00969063,0.00969063
18,3451.38,2.36925,1.26505,2.717,0.93509,0.9428,0.96696,0.68313,2.13463,0.86103,2.34635,0.00967129,0.00967129,0.00967129
19,3582.66,2.33464,1.24728,2.69157,0.94146,0.93635,0.96866,0.70753,2.09082,0.86006,2.43687,0.00965195,0.00965195,0.00965195
20,3713.77,2.31697,1.24652,2.68531,0.95354,0.92784,0.97094,0.66643,2.36639,0.91323,2.50495,0.00963262,0.00963262,0.00963262
21,3845.14,2.34608,1.23177,2.70355,0.9246,0.93892,0.96815,0.69136,2.2073,0.88939,2.47898,0.00961328,0.00961328,0.00961328
22,3976.85,2.33397,1.2276,2.70044,0.94056,0.93819,0.9703,0.69814,2.15132,0.88366,2.37289,0.00959395,0.00959395,0.00959395
23,4108.57,2.31224,1.22804,2.68268,0.9298,0.90314,0.95663,0.6824,2.12496,0.95777,2.49201,0.00957461,0.00957461,0.00957461
24,4238.87,2.31543,1.2334,2.70233,0.91777,0.9061,0.95696,0.70624,2.05468,0.9166,2.50959,0.00955527,0.00955527,0.00955527
25,4370.36,2.31503,1.21337,2.70896,0.93285,0.9227,0.96239,0.68829,2.16973,0.92459,2.4259,0.00953594,0.00953594,0.00953594
26,4502.47,2.28068,1.18152,2.67432,0.92924,0.95018,0.97024,0.69752,2.13322,0.85344,2.40126,0.0095166,0.0095166,0.0095166
27,4634.59,2.30447,1.20138,2.67644,0.9296,0.93635,0.96412,0.69987,2.09625,0.86596,2.42966,0.00949727,0.00949727,0.00949727
28,4766.88,2.26006,1.18593,2.66968,0.90421,0.92066,0.96195,0.70129,2.07226,0.9108,2.46524,0.00947793,0.00947793,0.00947793
29,4898.34,2.27728,1.17223,2.68676,0.90866,0.93609,0.96529,0.70414,2.08485,0.90193,2.4811,0.00945859,0.00945859,0.00945859
