epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6132,1.94796,1.88538,1.71282,0.86217,0.93618,0.93114,0.53373,1.5327,0.76137,1.51744,0.00331933,0.00331933,0.00331933
2,168.823,1.40761,0.73268,1.33432,0.88787,0.93863,0.95799,0.58477,1.43894,0.78434,1.45844,0.0066398,0.0066398,0.0066398
3,240.815,1.39284,0.70615,1.31695,0.91507,0.95764,0.97141,0.65487,1.19755,0.64119,1.31724,0.00994738,0.00994738,0.00994738
4,312.817,1.35245,0.68197,1.28568,0.87978,0.92739,0.94751,0.45787,1.84949,0.78332,1.74024,0.00994199,0.00994199,0.00994199
5,388.391,1.31486,0.65472,1.2617,0.92431,0.95998,0.97967,0.67372,1.16247,0.56627,1.28144,0.00992266,0.00992266,0.00992266
6,459.791,1.28728,0.62651,1.25148,0.93508,0.96044,0.98157,0.68451,1.12537,0.54924,1.26574,0.00990332,0.00990332,0.00990332
7,529.037,1.24995,0.60752,1.21995,0.92738,0.95455,0.97961,0.62903,1.27507,0.55031,1.37301,0.00988398,0.00988398,0.00988398
8,598.041,1.23908,0.59373,1.22403,0.93116,0.95598,0.98147,0.68324,1.11985,0.51651,1.25053,0.00986465,0.00986465,0.00986465
9,667.37,1.21132,0.57766,1.20591,0.93786,0.964,0.9836,0.69688,1.08578,0.47974,1.23572,0.00984531,0.00984531,0.00984531
10,735.516,1.20362,0.56688,1.19796,0.93384,0.964,0.98198,0.68006,1.14064,0.49442,1.28916,0.00982598,0.00982598,0.00982598
11,814.658,1.18111,0.55496,1.1989,0.93445,0.96706,0.98383,0.68542,1.11206,0.48144,1.2565,0.00980664,0.00980664,0.00980664
12,891.945,1.18793,0.55307,1.19331,0.9373,0.9641,0.98334,0.69347,1.09865,0.4698,1.24426,0.0097873,0.0097873,0.0097873
