epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.885,1.44831,0.96343,1.78614,0.94946,0.97061,0.9738,0.59633,1.26343,0.65222,1.77832,0.0700317,0.00332981,0.00332981
2,611.688,1.43428,0.82761,1.7502,0.95069,0.96039,0.96878,0.64355,1.16654,0.59999,1.69598,0.0400189,0.00665026,0.00665026
3,890.063,1.37821,0.7719,1.71794,0.95928,0.98616,0.9746,0.6693,1.09485,0.47837,1.65537,0.00999309,0.00995781,0.00995781
4,1106.31,1.35628,0.74079,1.69682,0.96313,0.96587,0.97182,0.6505,1.19075,0.48442,1.71358,0.00994199,0.00994199,0.00994199
5,1312.37,1.29393,0.68778,1.64502,0.95975,0.98432,0.98029,0.68649,1.06811,0.42626,1.61438,0.00992266,0.00992266,0.00992266
6,1518.45,1.27391,0.65685,1.63252,0.961,0.98432,0.97099,0.66526,1.16858,0.44845,1.68893,0.00990332,0.00990332,0.00990332
7,1722.37,1.23778,0.63295,1.60427,0.95646,0.9797,0.96884,0.66269,1.0923,0.43296,1.63094,0.00988398,0.00988398,0.00988398
8,1927.16,1.23688,0.63376,1.60746,0.96505,0.97694,0.97298,0.66769,1.16466,0.46208,1.66292,0.00986465,0.00986465,0.00986465
9,2132.15,1.21537,0.61782,1.58881,0.9626,0.97601,0.97628,0.67916,1.09145,0.43847,1.62426,0.00984531,0.00984531,0.00984531
10,2337.18,1.21022,0.61123,1.57909,0.96032,0.98235,0.97502,0.69261,1.04657,0.4103,1.59258,0.00982598,0.00982598,0.00982598
11,2538.41,1.22203,0.61515,1.58248,0.96509,0.96925,0.9694,0.69151,1.08759,0.45961,1.59865,0.00980664,0.00980664,0.00980664
12,2740.16,1.19262,0.59672,1.56629,0.96027,0.981,0.97724,0.69914,1.05393,0.40919,1.5943,0.0097873,0.0097873,0.0097873
13,2944.47,1.17109,0.59065,1.54196,0.95909,0.98063,0.97358,0.69258,1.07623,0.43944,1.59301,0.00976797,0.00976797,0.00976797
14,3149.72,1.16848,0.58023,1.5507,0.96149,0.98247,0.96817,0.69182,1.06852,0.39895,1.60984,0.00974863,0.00974863,0.00974863
15,3356.64,1.18617,0.5828,1.55326,0.95952,0.98394,0.96563,0.69081,1.03537,0.40498,1.57304,0.0097293,0.0097293,0.0097293
16,3566.39,1.16702,0.57979,1.54891,0.96099,0.97719,0.96811,0.67412,1.11448,0.42687,1.62647,0.00970996,0.00970996,0.00970996
17,3769.89,1.1585,0.57468,1.53915,0.95626,0.97878,0.97555,0.69337,1.0639,0.42157,1.58092,0.00969063,0.00969063,0.00969063
18,3975.07,1.14071,0.56388,1.52483,0.95672,0.97887,0.97165,0.69694,1.02505,0.39947,1.55634,0.00967129,0.00967129,0.00967129
19,4180.84,1.1263,0.5607,1.51292,0.96438,0.98063,0.97509,0.70799,1.03283,0.38729,1.57029,0.00965195,0.00965195,0.00965195
20,4387.27,1.12606,0.559,1.51004,0.96455,0.98616,0.96518,0.68261,1.06515,0.40347,1.62032,0.00963262,0.00963262,0.00963262
21,4590.33,1.13706,0.55993,1.52452,0.95672,0.98339,0.97702,0.69058,1.08866,0.39035,1.59325,0.00961328,0.00961328,0.00961328
22,4793.96,1.12657,0.54724,1.51892,0.96586,0.97694,0.97324,0.69722,1.03278,0.40121,1.57884,0.00959395,0.00959395,0.00959395
23,5000.13,1.1256,0.54686,1.50275,0.96289,0.98126,0.96798,0.68342,1.03662,0.39068,1.56468,0.00957461,0.00957461,0.00957461
24,5204.61,1.12238,0.55671,1.50739,0.9672,0.97939,0.97181,0.70317,1.02625,0.37755,1.5506,0.00955527,0.00955527,0.00955527
25,5408.91,1.12179,0.54627,1.51955,0.96412,0.98063,0.97657,0.70267,1.02842,0.38452,1.5786,0.00953594,0.00953594,0.00953594
26,5615.89,1.10216,0.53746,1.49424,0.96378,0.982,0.96998,0.70111,1.03842,0.38005,1.57828,0.0095166,0.0095166,0.0095166
27,5822.73,1.12407,0.54595,1.50518,0.96455,0.97894,0.97495,0.70082,1.02119,0.38027,1.57044,0.00949727,0.00949727,0.00949727
28,6029,1.11159,0.54735,1.50321,0.9601,0.98616,0.97404,0.69964,1.04964,0.38215,1.56831,0.00947793,0.00947793,0.00947793
29,6236.64,1.10895,0.53545,1.49689,0.96549,0.98062,0.97279,0.70618,1.02144,0.37593,1.55235,0.00945859,0.00945859,0.00945859
